quarter	"4분의 1, 4분기, 15분"
pentagon	5각형
octave	"옥타브, 음정"
octopus	낙지
heptathon	7종 경기(육상)
hexapod	"6각류, 곤충, 다리가 6개 있는"
decimal	"십진법의, 소수의"
centrigrade	"백분도, 섭씨 온도, 섭씨의"
hectare	헥타르(1만 평방미터)
multipurpose	"다목적의, 여러 목적에 쓰이는"
multicellular	다세포의
polythesim	"다신론, 다신교"
polymer	"중합체, 고분자"
eulogy	"찬미, 찬송, 찬양"
euphemism	완곡어법
well-balanced	"균형 잡힌, 제정신의, 온건한"
well-known	"유명한, 잘 알려진, 친밀한"
circumvent	"일주하다, 우회하다, 피하다"
circumference	"원주, 주변, 경계선"
circumscribe	"~의 둘레에 선을 긋다, 제한하다, 억제하다"
circumspect	"조심성 있는, 신중한"
hyperbole	과장
hyperactive	"활동 과잉의, 매우 활동적인"
hypertension	고혈합
hypothesis	"사설, 가정"
hypocrite	위선자
interpersonal	"인간 사이에 존재하는, 대인 관계의"
interplanetary	행성 간의
intravenous	"정맥 내의, 정맥주사의"
intramuscular	근육 내의
metamorphic	"변화의, 변태의"
metabolism	"물질 대사, 신진대사"
parasites	기생충
parallel	"평행의, 같은 방향의"
paralysis	"마비, 무력, 무능"
homogenous	"역사적 상동의, 균질의"
homosexual	"동성애, 동성애자"
heterozygous	"이협접합체의, 이형의, 잡종성의"
homologous	"상동의, 일치하는"
homology	"상동 관계, 상동"
macromolecular	거대 분자의
microcosm	소우주
microbiology	미생물학
perimeter	"주변, 경계선, 방어선"
neolithic	신석기시대의
abuse	"남용, 학대, 욕설"
appreciate	"감상하다, 인식하다, 고맙게 생각하다"
attribute	"~의 결과로 보다, 속성, 특성"
capital	"수도, 자본 대문자"
cast	"던지다, 주조하다, 배정하다"
charge	"청구하다, 고발하다, 요금"
due	"지불 기일이 된, 정당한, 당연한 권리, 부과금"
even	"한층, 더욱, 오히려, 평탄한, 한결같은, 짝수의"
express	"표현하다, 나타내다, 급행의"
foul	"더러운, 부정한, 충돌한"
settle	"정착하다, 해결하다, 결정하다"
state	"상태, 사정, 정부, 진술하다, 국가의, 주립의"
steep	"가파른, 험주한, 터무니없는, 적시다, 열중하다, 가파름, 험준함"
subject	"주제, 학과, ~의 영향을 받기 쉬운, 복종시키다"
suit	"적응시키다, 어울리다, 슈트, 소송"
tap	"가볍게 두드림, 꼭지, 개발하다"
term	"학기, 전문어, 조건, 협약, 동의, 이름 짓다"
treat	"간주하다, 대우하다, 치료하다, 치료"
wonder	"궁금하다, 경탄할 만한 것"
account for	"~을 설명하다, 차지하다"
at the mercy of	~에 좌우되어
attribute A to B	A를 B의 탓으로 돌리다
be prone to	~하기 쉽다
bear in mind	~을 명심하다
